#
# File description
#
@FILENAME=D:\GAMES\XENON2\XENON2.DAT\IMAGES\SPRITES.IDX
@SEPARATOR=,
#
# Structure description
#
@COLUMN1=INT       # Sprite ID
@COLUMN2=INT       # Image ID
@COLUMN3=INT       # Mask ID
@COLUMN4=INT       # Level palette position
@COLUMN5=INT       # X palette position (/16)
@COLUMN6=INT       # Y palette position (/16)
@COLUMN7=CHAR(14)  # creature name (if not empty, then mobile)
@COLUMN8=INT       # move ID
@COLUMN9=INT       # number of states in animation
@COLUMN10=INT      # points
#
1,779,0,1,0,0,,0,0,0
2,778,0,1,19,0,,0,0,0
3,754,755,1,1,0,,0,0,0
4,756,757,1,18,0,,0,0,0
5,758,0,1,2,0,,0,0,0
6,759,0,1,17,0,,0,0,0
7,760,0,1,3,0,,0,0,0
8,761,0,1,16,0,,0,0,0
9,762,763,1,4,0,,0,0,0
10,764,765,1,15,0,,0,0,0
11,766,0,1,5,0,,0,0,0
12,767,0,1,14,0,,0,0,0
13,768,0,1,6,0,,0,0,0
14,769,0,1,13,0,,0,0,0
15,770,771,1,7,0,,0,0,0
16,772,773,1,12,0,,0,0,0
17,753,0,1,8,0,,0,0,0
18,752,0,1,11,0,,0,0,0
19,774,775,1,9,0,,0,0,0
20,776,777,1,10,0,,0,0,0
#
21,792,0,1,0,11,,0,0,0
22,793,0,1,19,11,,0,0,0
23,800,0,1,1,11,,0,0,0
24,801,0,1,18,11,,0,0,0
25,834,0,1,2,11,,0,0,0
26,835,0,1,17,11,,0,0,0
27,780,0,1,3,11,,0,0,0
28,781,0,1,16,11,,0,0,0
29,782,0,1,4,11,,0,0,0
30,783,0,1,15,11,,0,0,0
31,784,785,1,5,11,,0,0,0
32,786,787,1,14,11,,0,0,0
#
33,788,0,1,0,12,,0,0,0
34,789,0,1,19,12,,0,0,0
35,808,0,1,1,12,,0,0,0
36,809,0,1,18,12,,0,0,0
37,816,0,1,2,12,,0,0,0
38,817,0,1,17,12,,0,0,0
39,818,0,1,3,12,,0,0,0
40,819,0,1,16,12,,0,0,0
41,814,0,1,4,12,,0,0,0
42,815,0,1,15,12,,0,0,0
43,820,821,1,5,12,,0,0,0
44,822,823,1,14,12,,0,0,0
#
45,790,0,1,0,13,,0,0,0
46,791,0,1,19,13,,0,0,0
47,796,0,1,1,13,,0,0,0
48,797,0,1,18,13,,0,0,0
49,810,0,1,2,13,,0,0,0
